,citynamelist,country,latitude,longitude,temperature,humidity,cloudiness,windspeed,maxtemp
120,Okha,RU,53.5739,142.9478,35.01,85,100,6.04,35.01
121,Mokhsogollokh,RU,61.4681,128.9203,42.78,90,100,7.74,42.78
122,Storforshei,NO,66.4043,14.5233,47.98,57,0,3.44,47.98
123,Thinadhoo,MV,0.5333,72.9333,83.28,76,79,13.06,83.28
124,Tawang Town,IN,27.5833,91.8667,46.99,89,100,1.52,46.99
125,Touros,BR,-5.1989,-35.4608,79.56,82,95,6.26,79.56
126,Saint Anthony,US,45.0205,-93.218,68.76,55,100,21.85,71.82
127,Rawson,AR,-43.3002,-65.1023,55.58,38,69,1.7,55.58
128,Ayan,RU,56.45,138.1667,34.21,86,53,1.12,34.21
129,Murray Bridge,AU,-35.1167,139.2667,48.13,83,95,4.09,48.13
130,Aparecida,BR,-22.8469,-45.2297,60.49,63,75,12.66,60.49
131,Lebu,CL,-37.6167,-73.65,55.74,89,100,26.44,55.74
132,Ancud,CL,-41.8697,-73.8203,56.16,78,100,15.5,56.16
133,San Borja,BO,-14.8167,-66.85,72.1,61,97,1.16,72.1
134,Albany,US,42.6001,-73.9662,57.56,93,100,1.01,60.94
135,Balaipungut,ID,1.05,101.2833,75.06,96,90,0.81,75.06
136,Villa Bruzual,VE,9.3328,-69.1208,85.05,59,100,3.0,85.05
137,Constitución,CL,-35.3333,-72.4167,54.97,93,100,17.18,54.97
138,Mogadishu,SO,2.0371,45.3438,79.95,83,54,17.74,79.95
139,Marsh Harbour,BS,26.5412,-77.0636,81.12,71,33,3.67,81.12
140,Port Alfred,ZA,-33.5906,26.891,57.18,94,100,1.99,57.18
141,Baruun-Urt,MN,46.6806,113.2792,57.69,28,53,8.3,57.69
142,Kapaa,US,22.0752,-159.319,80.06,86,75,14.97,82.47
143,Laguna,US,38.421,-121.4238,87.98,26,0,18.41,91.69
144,Kavaratti,IN,10.5669,72.642,82.96,76,99,9.4,82.96
145,Aswān,EG,24.0934,32.907,92.5,8,0,9.22,92.5
146,Chokurdakh,RU,70.6333,147.9167,30.33,92,73,5.39,30.33
147,Sal Rei,CV,16.1833,-22.9167,72.16,84,12,18.86,72.16
148,Alice Springs,AU,-23.7,133.8833,42.35,93,0,0.0,42.35
149,College,US,64.8569,-147.8028,60.06,38,40,6.91,63.28
150,Kungurtug,RU,50.5994,97.5228,51.48,57,30,1.9,51.48
151,Fort Nelson,CA,58.8053,-122.7002,56.79,23,40,17.27,56.79
152,Antoniny,UA,49.8097,26.8771,51.19,73,69,6.76,51.19
153,Manakara,MG,-22.1333,48.0167,65.16,82,2,3.11,65.16
154,Teya,RU,60.3778,92.6267,53.62,70,88,2.8,53.62
155,Ostrovnoy,RU,68.0531,39.5131,32.97,79,100,16.22,32.97
156,Karratha,AU,-20.7377,116.8463,73.49,70,0,6.15,73.49
157,Lüderitz,NA,-26.6481,15.1594,54.3,83,1,9.95,54.3
158,Bredasdorp,ZA,-34.5322,20.0403,51.51,60,11,4.5,51.51
159,Launceston,AU,-41.45,147.1667,35.24,86,0,6.91,36.16
160,Torbay,CA,47.6666,-52.7314,53.56,68,75,14.97,54.37
161,Xenia,US,39.6848,-83.9296,76.87,70,40,10.36,79.36
162,Namatanai,PG,-3.6667,152.4333,80.01,80,17,4.76,80.01
163,Santa Vitória do Palmar,BR,-33.5189,-53.3681,54.45,72,24,4.7,54.45
164,Ketchikan,US,55.3422,-131.6461,54.07,71,75,5.75,54.07
165,Dakar,SN,14.6937,-17.4441,77.88,84,15,19.22,77.88
166,Skjervøy,NO,70.0311,20.9714,35.6,77,92,8.21,35.6
167,Scarborough,GB,54.2797,-0.4044,54.23,69,100,1.99,55.17
168,Bengkulu,ID,-3.8004,102.2655,75.49,89,32,3.53,75.49
169,Ilulissat,GL,69.2167,-51.1,33.82,75,0,5.75,33.82
170,Burnie,AU,-41.0667,145.9167,44.94,78,0,5.55,44.94
171,Klaksvík,FO,62.2266,-6.589,49.12,97,100,21.12,49.12
172,Bowen,AU,-20.0167,148.2333,73.45,80,98,13.47,73.45
173,Porto San Giorgio,IT,43.1827,13.7934,65.7,42,6,5.46,66.99
174,Inuvik,CA,68.3499,-133.7218,37.26,75,75,4.61,38.16
175,Mountain Home,US,43.133,-115.6912,53.08,24,100,21.85,53.08
176,Manta,EC,-0.95,-80.7333,83.98,70,40,11.5,83.98
177,Sobolevo,RU,54.4299,31.8996,47.52,80,78,7.63,47.52
178,Gunupur,IN,19.0833,83.8167,83.03,83,100,4.29,83.03
179,Shāhpura,IN,27.3833,75.9667,90.57,14,28,9.22,90.57
180,Chernyshevskiy,RU,63.0128,112.4714,43.61,95,100,9.13,43.61
181,Samarai,PG,-10.6167,150.6667,81.39,74,22,5.39,81.39
182,Alofi,NU,-19.0595,-169.9187,76.89,94,75,10.36,76.89
183,Dwārka,IN,22.2394,68.9678,81.63,78,2,15.97,81.63
184,Necochea,AR,-38.5473,-58.7368,52.16,53,44,8.28,52.16
185,Santa Maria,BR,-29.6842,-53.8069,56.5,72,20,3.44,56.5
186,Iqaluit,CA,63.7506,-68.5145,29.7,74,100,5.75,29.93
187,Phang Nga,TH,8.4509,98.5298,77.04,93,100,0.83,77.04
188,Mizque,BO,-17.941,-65.3402,67.91,43,100,6.58,67.91
189,Raudeberg,NO,61.9875,5.1352,49.87,84,73,14.52,50.95
190,Puerto Limón,CR,10.0,-83.0333,84.09,74,40,5.75,84.09
191,Mayumba,GA,-3.432,10.6554,77.16,87,82,3.4,77.16
192,Trairi,BR,-3.2778,-39.2689,77.97,83,81,4.05,77.97
193,Geraldton,AU,-28.7667,114.6,61.21,94,100,4.61,61.21
194,Kamenka,RU,51.3223,42.7678,48.6,73,100,6.8,48.6
195,Bela,IN,25.9333,81.9833,91.71,16,0,6.42,91.71
196,Kyabé,TD,9.4515,18.9449,80.1,65,99,2.73,80.1
197,Agua Verde,MX,22.9,-106.05,80.69,61,2,10.69,80.69
198,Caceres,ES,39.522,-6.3748,74.53,42,96,3.06,74.53
199,Tateyama,JP,34.9833,139.8667,66.9,82,100,12.41,66.9
200,San Quintín,MX,30.4833,-115.95,65.17,63,1,9.98,65.17
201,Balikpapan,ID,-1.2675,116.8289,77.99,100,75,3.44,77.99
202,Bhikangaon,IN,21.8667,75.95,92.77,20,1,10.56,92.77
203,Jiamusi,CN,46.8333,130.35,55.85,72,100,7.2,55.85
204,Cabo San Lucas,MX,22.8909,-109.9124,84.51,39,0,11.5,85.3
205,Ixtapa,MX,20.7,-105.2,81.63,65,0,13.8,81.63
206,São José da Coroa Grande,BR,-8.8978,-35.1478,80.35,81,95,14.47,80.35
207,Kongolo,CD,-5.3833,27.0,73.62,68,75,2.51,73.62
208,Tocopilla,CL,-22.092,-70.1979,67.01,63,30,9.37,67.01
209,Saskylakh,RU,71.9167,114.0833,30.99,93,100,3.2,30.99
210,Port Elizabeth,ZA,-33.918,25.5701,56.01,97,75,10.36,56.32
211,Cabañas,CU,22.9758,-82.9219,86.77,58,88,8.19,86.77
212,Mpophomeni,ZA,-29.5682,30.1862,56.61,61,72,3.56,56.61
213,Clonakilty,IE,51.6231,-8.8706,54.61,90,95,16.46,54.61
214,Sergeevka,KZ,53.88,67.4158,48.18,63,51,8.97,48.18
215,Okhotsk,RU,59.3833,143.3,37.09,84,94,6.29,37.09
216,Primorsko-Akhtarsk,RU,46.0497,38.1747,55.63,80,100,14.9,55.63
217,Rayachoti,IN,14.05,78.75,76.66,75,100,6.2,76.66
218,Mersing,MY,2.4312,103.8405,77.63,90,59,3.71,77.63
219,Qurayyat,SA,31.3318,37.3428,73.58,25,0,13.8,73.58
220,Coremas,BR,-7.0144,-37.9458,84.36,50,95,6.91,84.36
221,Adelaide,AU,-34.9333,138.6,46.02,78,0,6.91,48.42
222,Umluj,SA,25.0213,37.2685,85.98,39,0,5.59,85.98
223,Moville,US,42.4889,-96.0725,89.17,41,99,19.98,90.48
224,Pritomskiy,RU,53.7724,87.6082,59.92,96,100,8.03,59.92
225,Lagoa,PT,39.05,-27.9833,59.27,79,60,8.08,59.27
226,Danilovka,RU,50.3557,44.1168,49.77,65,100,2.93,49.77
227,Montrose,US,38.4166,-108.2673,70.09,12,73,26.57,74.61
228,Silver City,US,32.7701,-108.2803,82.36,10,0,14.0,85.96
229,Gremyachinsk,RU,58.5603,57.851,29.35,96,31,2.95,29.35
230,Bāpatla,IN,15.9,80.4667,86.49,72,97,10.33,86.49
231,Sumbe,AO,-11.2061,13.8437,73.42,89,1,7.9,73.42
232,Porto Walter,BR,-8.2686,-72.7439,80.04,50,58,2.1,80.04
233,Freeport,US,40.6576,-73.5832,61.84,74,100,8.05,66.49
234,Upernavik,GL,72.7868,-56.1549,30.61,85,65,9.01,30.61
235,Iskitim,RU,54.6366,83.3045,52.7,73,1,8.81,52.7
236,Trincomalee,LK,8.5711,81.2335,82.18,71,100,21.92,82.18
237,Vila Franca do Campo,PT,37.7167,-25.4333,63.19,83,46,11.05,63.19
238,Faanui,PF,-16.4833,-151.75,80.4,71,3,7.72,80.4
239,Fortuna,US,40.5982,-124.1573,58.15,67,20,20.71,59.94
240,Saint-Joseph,RE,-21.3667,55.6167,66.58,75,24,11.01,66.58
241,Anshun,CN,26.25,105.9333,55.96,92,100,2.75,55.96
242,Porto Santo,PT,33.072,-16.3415,68.38,83,40,6.91,68.38
243,Mahibadhoo,MV,3.7833,72.9667,82.24,80,100,14.32,82.24
244,Kyren,RU,51.6828,102.1408,56.95,47,39,2.82,56.95
245,Prainha,BR,-1.8,-53.48,74.48,95,100,2.86,74.48
246,Tari,NG,12.4086,4.4914,98.73,19,81,3.74,98.73
247,Altamira,BR,-3.2033,-52.2064,82.49,69,75,4.61,82.49
248,Porto Murtinho,BR,-21.6989,-57.8825,63.68,45,0,3.18,63.68
249,San Cristobal,VE,7.7669,-72.225,80.78,70,100,6.44,80.78
250,Sarangani,PH,5.4033,125.4636,82.89,76,49,14.29,82.89
251,Bollnäs,SE,61.3482,16.3946,44.44,77,100,3.58,44.44
252,Waipawa,NZ,-41.4122,175.5153,54.59,75,74,25.79,54.59
253,Jalu,LY,29.0331,21.5482,73.35,51,0,17.11,73.35
254,Kosh-Agach,RU,50.0,88.6667,53.11,54,100,9.75,53.11
255,Nhulunbuy,AU,-12.2333,136.7667,74.01,94,0,0.0,74.01
256,Zhuanghe,CN,39.7008,122.9911,54.61,97,86,9.62,54.61
257,Çine,TR,37.6117,28.0614,54.77,64,100,5.44,54.77
258,Paddhari,IN,22.4333,70.6,82.51,65,1,13.65,82.51
259,Narsaq,GL,60.9167,-46.05,53.82,61,10,5.68,53.82
260,Khāsh,IR,28.2211,61.2158,77.74,15,0,2.3,77.74
261,Praia da Vitória,PT,38.7333,-27.0667,61.05,88,40,10.69,63.75
262,Ha Tinh,VN,18.3333,105.9,73.83,94,53,1.59,73.83
263,Saint-François,FR,46.4154,3.9054,78.24,41,0,10.36,78.24
264,Shugurovo,RU,54.5083,52.1326,37.96,92,7,6.58,37.96
265,Korla,CN,41.7597,86.1469,74.82,19,65,10.16,74.82
266,Tezu,IN,27.9167,96.1667,70.34,80,100,2.19,70.34
267,Burg,DE,51.8333,14.15,66.78,62,97,9.13,66.78
268,Aden,YE,12.7794,45.0367,88.34,52,3,5.39,88.34
269,Haines Junction,CA,60.7522,-137.5108,55.35,35,11,2.3,55.35
270,Khovd,MN,48.0056,91.6419,59.77,33,1,3.47,59.77
271,Quatre Cocos,MU,-20.2078,57.7625,71.1,82,61,11.77,73.51
272,Port Macquarie,AU,-31.4333,152.9167,56.89,65,100,5.66,56.89
273,Sivac,RS,45.7033,19.3822,56.97,48,0,5.53,56.97
274,Artyom,AZ,40.4723,50.333,60.94,74,0,7.18,60.94
275,Marshall,US,34.3834,-86.3333,89.17,41,0,12.66,91.31
276,Araouane,ML,18.9048,-3.5265,93.83,9,59,8.16,93.83
277,Paldiski,EE,59.3567,24.0531,50.05,71,0,6.91,52.86
278,Te Anau,NZ,-45.4167,167.7167,39.58,93,99,3.0,39.58
279,Pochutla,MX,15.7432,-96.4661,88.83,45,57,11.21,88.83
280,Sumbawanga,TZ,-7.9667,31.6167,60.6,77,20,0.0,60.6
281,Kaitangata,NZ,-46.2817,169.8464,43.88,81,100,10.27,43.88
282,Ojinaga,MX,29.5667,-104.4167,99.61,12,0,5.75,103.57
283,Hasaki,JP,35.7333,140.8333,59.4,78,98,13.94,59.4
284,Brooks,CA,50.5834,-111.8851,44.46,86,100,29.93,46.02
285,Huai'an,CN,33.5886,119.0192,60.44,69,82,4.12,60.44
286,Meulaboh,ID,4.1363,96.1285,76.89,90,98,4.34,76.89
287,Muravlenko,RU,63.7898,74.523,51.37,90,100,10.8,51.37
288,Kushmurun,KZ,52.4503,64.6311,53.53,71,86,15.48,53.53
289,Carnarvon,AU,-24.8667,113.6333,68.63,63,55,13.4,68.63
290,Mareeba,AU,-17.0,145.4333,69.4,92,32,2.42,69.44
291,Umm Hājar,TD,13.2954,19.6966,93.31,22,52,2.73,93.31
292,Mnogovershinnyy,RU,53.9353,139.9242,32.65,86,88,4.43,32.65
293,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,81,20,6.91,48.06
294,Cockburn Town,TC,21.4612,-71.1419,82.36,78,75,8.05,82.36
295,Storsteinnes,NO,69.2408,19.2344,45.25,90,98,4.05,45.25
296,Erdenet,MN,49.0333,104.0833,54.86,43,10,3.51,54.86
297,Atkarsk,RU,51.8718,45.0078,47.48,77,98,6.76,47.48
298,Manokwari,ID,-0.8667,134.0833,78.78,81,100,4.14,78.78
299,Katsuura,JP,35.1333,140.3,66.61,80,100,12.15,66.61
300,Liverpool,GB,53.4106,-2.9779,57.0,64,20,8.05,59.54
301,Kearney,US,40.6995,-99.0815,90.16,22,0,16.11,91.56
302,Mandan,US,46.8267,-100.8896,47.43,89,0,9.22,49.37
303,Monrovia,LR,6.3005,-10.7969,79.79,82,88,6.69,79.79
304,Sangamner,IN,19.5667,74.2167,78.84,70,92,10.69,78.84
305,Birao,CF,10.2849,22.7882,83.52,54,85,4.47,83.52
306,Soyo,AO,-6.1349,12.3689,77.23,85,3,10.58,77.23
307,Griffith,US,41.5284,-87.4237,84.92,43,40,18.41,87.12
308,Deputatsky,RU,69.3,139.9,26.94,96,100,3.8,26.94
309,Shuya,RU,56.8487,41.3883,35.55,91,59,6.62,35.55
310,Gamboma,CG,-1.8764,15.8644,74.75,89,98,2.57,74.75
311,Husavik,IS,66.0449,-17.3389,49.39,72,37,13.22,49.39
312,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,40,5.75,73.65
313,Nanortalik,GL,60.1432,-45.2371,38.26,63,8,10.56,38.26
314,Aklavik,CA,68.2191,-135.0107,37.4,65,75,3.44,37.4
315,Poum,NC,-20.2333,164.0167,77.86,76,3,8.57,77.86
316,Kiryat Gat,IL,31.61,34.7642,68.43,51,0,5.57,76.41
317,Nabire,ID,-3.3667,135.4833,75.06,93,100,2.3,75.06
318,Homer,US,59.6425,-151.5483,57.36,44,0,9.22,63.03
319,Kaeo,NZ,-35.1,173.7833,56.32,98,98,13.04,56.32
320,Cidreira,BR,-30.1811,-50.2056,58.98,82,33,10.76,58.98
321,Ulaangom,MN,49.9811,92.0667,60.21,30,3,1.74,60.21
322,Uva,RU,56.9908,52.1852,34.0,91,68,2.93,34.0
323,Surab,PK,28.4914,66.2585,72.77,13,0,7.78,72.77
324,Dharapuram,IN,10.7333,77.5167,75.38,76,92,14.14,75.38
325,Bubaque,GW,11.2833,-15.8333,78.94,83,67,23.64,78.94
326,Qui Nhon,VN,13.7667,109.2333,77.36,91,100,5.91,77.36
327,Bay Roberts,CA,47.5999,-53.2648,53.53,69,73,14.61,55.15
328,Chapais,CA,49.7834,-74.8492,55.18,69,100,6.42,55.18
329,Lompoc,US,34.6391,-120.4579,68.4,65,0,14.97,84.69
330,Tura,IN,25.5198,90.2201,67.84,98,98,2.68,67.84
331,Srednekolymsk,RU,67.45,153.6833,51.46,43,85,11.5,51.46
332,Nemuro,JP,43.3236,145.575,46.98,95,86,13.09,46.98
333,Zyryanovsk,KZ,49.7386,84.2719,54.9,91,16,1.12,54.9
334,Guerrero Negro,MX,27.9769,-114.0611,69.62,52,1,13.2,69.62
335,Anadyr,RU,64.75,177.4833,41.0,80,97,6.71,41.5
336,Souris,CA,49.6172,-100.2612,48.06,92,100,7.7,51.75
337,High Level,CA,58.5169,-117.136,51.91,40,75,18.41,51.91
338,San Jerónimo,PE,-11.9472,-75.2829,60.57,53,86,9.28,60.57
339,Russellville,US,35.2784,-93.1338,88.34,48,0,11.5,92.17
340,Flinders,AU,-34.5833,150.8552,55.99,68,99,5.99,56.17
341,Rosário Oeste,BR,-14.8361,-56.4275,64.45,48,70,4.12,64.45
342,Semey,KZ,50.4111,80.2275,63.27,52,85,9.37,63.27
343,Pimentel,PE,-6.8367,-79.9342,75.49,53,0,23.02,75.49
344,Mitsamiouli,KM,-11.3847,43.2844,79.18,73,70,11.25,79.18
345,Cândido Mendes,BR,-1.4467,-45.7167,77.11,93,90,3.02,77.11
346,Chiredzi,ZW,-21.05,31.6667,68.31,63,63,4.41,68.31
347,Joniškėlis,LT,56.0253,24.1689,54.93,93,100,5.86,54.93
348,Erbil,IQ,36.1926,44.0106,80.42,24,0,8.05,80.42
349,Praia,CV,14.9215,-23.5087,75.74,69,0,12.66,75.74
350,Muskogee,US,35.5834,-95.3336,86.9,64,0,16.11,89.96
351,Muros,ES,42.7762,-9.0603,62.83,75,100,6.64,62.83
352,Dāmghān,IR,36.1683,54.348,70.09,39,0,1.36,70.09
353,Talnakh,RU,69.4865,88.3972,33.21,88,82,5.53,33.21
354,Enshi,CN,30.3,109.4833,59.41,95,98,0.92,59.41
355,Changying,CN,52.8733,123.3213,50.11,84,2,5.7,50.11
356,Baturaja,ID,-4.1333,104.1667,72.59,95,98,2.37,72.59
357,Honiara,SB,-9.4333,159.95,79.74,81,1,1.68,79.74
358,Phan Thiet,VN,10.9333,108.1,76.33,84,100,4.63,76.33
359,Chulumani,BO,-16.4096,-67.5263,69.46,52,100,4.61,69.46
360,Arlit,NE,18.7369,7.3853,85.19,31,94,13.8,85.19
361,Lorengau,PG,-2.0226,147.2712,81.61,79,24,3.83,81.61
362,Garh Maharaja,PK,30.8339,71.9053,95.09,9,0,11.5,95.09
363,Urdoma,RU,61.7533,48.5442,31.48,89,24,4.94,31.48
364,Great Bend,US,38.3645,-98.7648,93.04,31,0,25.32,93.04
365,Aktas,KZ,49.7789,72.9608,35.35,46,28,6.8,35.35
366,City of San Pedro,PH,14.35,121.0167,77.47,91,75,3.44,78.03
